panel_rank,genejepa_index,gene_symbol,ensembl_id,token_id,detection_rate,mean_logcp10k,variance_logcp10k,current_panel_rank
0,39718,MALAT1,ENSG00000251562,39721,0.9999657395958214,5.873679052201882,0.4090275248245447,3184
1,21398,MT-RNR2,ENSG00000210082,21401,0.9993657466396908,5.425809442145614,0.3621713922736127,3602
2,21434,MT-RNR1,ENSG00000211459,21437,0.997902225862717,5.432505974201828,0.5417199241796204,2209
3,37292,NEAT1,ENSG00000245532,37295,0.9579993597750424,3.5851088196538456,1.3166258567153903,130
4,61487,TALAM1,ENSG00000289740,61490,0.8902417389709395,2.4817115332236424,1.0627394433145063,420
5,17899,MT-ND4,ENSG00000198886,17902,0.8527027535949887,2.476867956574268,1.4708829351489632,49
6,3913,GAPDH,ENSG00000111640,3916,0.8467657219512773,2.5107777038380608,1.6094171886474955,25
7,1126,PABPC1,ENSG00000070756,1129,0.788935772464887,2.0240786925641205,1.3712511675566086,90
8,17838,MT-ND5,ENSG00000198786,17841,0.7766156265103347,2.0917624775443744,1.6098621557538424,24
9,11892,HSP90B1,ENSG00000166598,11895,0.7742243287576079,2.0687537794525,1.6414437888020623,19
10,2059,HSP90AB1,ENSG00000096384,2062,0.7648004510168628,1.9423928755266329,1.4439185365315437,54
11,1308,FNDC3B,ENSG00000075420,1311,0.7582570625251505,1.9986476883026227,1.5955170196169877,28
12,16439,PTMA,ENSG00000187514,16442,0.7461891184771852,1.905283156828624,1.5812436557349154,31
13,550,TRIO,ENSG00000038382,553,0.7305958398628607,1.8774412965774416,1.6310423606016435,22
14,4720,PRRC2C,ENSG00000117523,4723,0.7149050106320582,1.6559451081642564,1.2951925678018812,146
15,13526,CHD2,ENSG00000173575,13529,0.7089346775267789,1.6917534308949722,1.412857945543999,68
16,30243,LINC-PINT,ENSG00000231721,30246,0.7027914296334886,1.7573406465291457,1.6071998876568894,26
17,17691,ASPH,ENSG00000198363,17694,0.7018046776871839,1.7937702013026235,1.678248171438005,14
18,7414,RPS6,ENSG00000137154,7417,0.6994479890450396,1.691045823957163,1.5026261065631663,42
19,8594,GOLGA4,ENSG00000144674,8597,0.6965185065462653,1.6459312168996008,1.4184049321845649,64
20,510,TMSB10,ENSG00000034510,513,0.6874945078741393,1.710552662363076,1.6187648939892374,23
21,13180,JMJD1C,ENSG00000171988,13183,0.6835604022258627,1.5891053469985188,1.382145233074596,85
22,1275,ENO1,ENSG00000074800,1278,0.6772238402199361,1.587991268156919,1.4317322018030083,59
23,6882,LDHA,ENSG00000134333,6885,0.674052050358784,1.5790150784976558,1.416595634089958,65
24,12576,PTK2,ENSG00000169398,12579,0.6714050200471312,1.5428805904691918,1.3700916067866404,93
25,6713,TPT1,ENSG00000133112,6716,0.6713473527255939,1.5801068768756696,1.476470008162745,46
26,2634,PGK1,ENSG00000102144,2637,0.6586120282089533,1.5102010080874988,1.3948284833714526,77
27,1509,HSP90AA1,ENSG00000080824,1512,0.6578244747958498,1.6302814349576047,1.7128440593661054,11
28,17850,MT-CO1,ENSG00000198804,17853,0.656030205994821,1.5401030083249083,1.4732698367796289,48
29,5878,CANX,ENSG00000127022,5881,0.6534996436220553,1.4916510364072153,1.3832915712733451,83
30,15291,ANXA2,ENSG00000182718,15294,0.6502481743476226,1.5356712953914895,1.49078729893618,44
31,1962,HNRNPC,ENSG00000092199,1965,0.6423521973036626,1.4337887414538677,1.325279585853984,120
32,750,KMT2C,ENSG00000055609,753,0.6410679552065702,1.4325909810810815,1.3483641589524566,104
33,9274,ITGB1,ENSG00000150093,9277,0.6406437974545828,1.4932723797864884,1.475588269798486,47
34,1005,PKM,ENSG00000067225,1008,0.6372321411758798,1.430917819850786,1.3585828267927291,101
35,10152,AGAP1,ENSG00000157985,10155,0.636203936755817,1.4614825040729271,1.4214613318506633,62
36,2919,NDRG1,ENSG00000104419,2922,0.6360698591435352,1.6526601682616773,1.919378498465384,5
37,5278,HNRNPA2B1,ENSG00000122566,5281,0.6344723915191813,1.438543511346895,1.3851037085620623,81
38,9999,ZFAND3,ENSG00000156639,10002,0.6260818180296553,1.404420888650146,1.3709498662754755,91
39,8638,LPP,ENSG00000145012,8641,0.6252800112422945,1.414282084640285,1.3832133445036008,84
40,5849,KTN1,ENSG00000126777,5852,0.6240391395041813,1.3775349179295278,1.3242695853483084,122
41,6384,RBM39,ENSG00000131051,6387,0.6238606018254083,1.3775306561298786,1.3318141264513623,114
42,12096,ANKRD11,ENSG00000167522,12099,0.6231444024601934,1.3820994339841846,1.3382635756999788,109
43,11467,YWHAZ,ENSG00000164924,11470,0.6231368180959096,1.3907946779581422,1.3483102678763348,105
44,12146,EEF2,ENSG00000167658,12149,0.6218860954018877,1.4110811212796042,1.414548536552837,67
45,5939,MACF1,ENSG00000127603,5942,0.6205411783905247,1.3942536745233836,1.3782218133223807,86
46,15174,EXT1,ENSG00000182197,15177,0.6204287205752819,1.5081801459275748,1.679838947001707,13
47,16829,ZNF292,ENSG00000188994,16832,0.6189409647032403,1.3768620472399729,1.3673224945321347,95
48,13572,EIF1,ENSG00000173812,13575,0.6170269152524879,1.391234428861288,1.4046779584880964,71
49,2724,NFAT5,ENSG00000102908,2727,0.6145523638458411,1.3898721513888117,1.4384321144435115,56
50,16379,NAP1L1,ENSG00000187109,16382,0.6145379361183816,1.3701046986942158,1.3659101337666346,99
51,9465,DST,ENSG00000151914,9468,0.6138066987895006,1.460525141016039,1.5878694739954209,29
52,4478,BIRC6,ENSG00000115760,4481,0.6116820742591209,1.3319879715932377,1.2946838050103942,147
53,4290,GBE1,ENSG00000114480,4293,0.6112498962598448,1.497599699675166,1.722663939605693,9
54,8287,RPS8,ENSG00000142937,8290,0.6092100509739021,1.3666487617233871,1.403000361661597,72
55,15612,ACTG1,ENSG00000184009,15615,0.6090272416416819,1.4226541832802675,1.5325571295136426,38
56,17552,ERO1A,ENSG00000197930,17555,0.6067391173961953,1.44019263276664,1.639670544820372,20
57,17174,NF1,ENSG00000196712,17177,0.6003136788455865,1.2990335183707336,1.284924944441895,153
58,4430,USP34,ENSG00000115464,4433,0.6003071841888148,1.3146472394331776,1.3255380608364211,119
59,602,CTNNA1,ENSG00000044115,605,0.5984369845683468,1.2970941619097054,1.290891016792758,150
60,211,SPAG9,ENSG00000008294,214,0.5941236607058794,1.3216323389863465,1.3872799035549437,79
61,846,VMP1,ENSG00000062716,849,0.5930987254083526,1.3022469097475515,1.3452615971996034,107
62,6790,SBF2,ENSG00000133812,6793,0.5871209387036909,1.2824503319819425,1.3289550319056858,118
63,11907,B2M,ENSG00000166710,11910,0.5867466023791541,1.3663754586011805,1.55613579628496,34
64,100,KMT2E,ENSG00000005483,103,0.5860591712922572,1.2732931050324483,1.33177662172185,115
65,17830,MT-ND2,ENSG00000198763,17833,0.5844005056940269,1.309388345128405,1.4117040680553905,69
66,9098,PARD3,ENSG00000148498,9101,0.5839634458050968,1.3016443280814884,1.3986464609435258,75
67,9623,HNRNPU,ENSG00000153187,9626,0.582270519802688,1.2501071721657713,1.2840190688577953,154
68,5591,LRRFIP1,ENSG00000124831,5594,0.5820994357232973,1.282181021643103,1.3637486504118783,100
69,4355,NCL,ENSG00000115053,4358,0.5803442656278005,1.2693845171046818,1.3497632742257657,102
70,1718,FTL,ENSG00000087086,1721,0.5788324054255927,1.3750559110243934,1.6435175836664946,18
71,5687,RPL23,ENSG00000125691,5690,0.5772661034360832,1.284636277529084,1.4192413727614626,63
